time_seconds,time_hours,day,incidence_angle_deg,is_daylight
0,0.00,0,179.74,0
300,0.08,0,178.82,0
600,0.17,0,177.69,0
900,0.25,0,176.55,0
1200,0.33,0,175.41,0
1500,0.42,0,174.26,0
1800,0.50,0,173.12,0
2100,0.58,0,171.98,0
2400,0.67,0,170.83,0
2700,0.75,0,169.69,0
3000,0.83,0,168.54,0
3300,0.92,0,167.40,0
3600,1.00,0,166.25,0
3900,1.08,0,165.11,0
4200,1.17,0,163.96,0
4500,1.25,0,162.82,0
4800,1.33,0,161.68,0
5100,1.42,0,160.53,0
5400,1.50,0,159.39,0
5700,1.58,0,158.25,0
6000,1.67,0,157.11,0
6300,1.75,0,155.97,0
6600,1.83,0,154.83,0
6900,1.92,0,153.69,0
7200,2.00,0,152.55,0
7500,2.08,0,151.41,0
7800,2.17,0,150.27,0
8100,2.25,0,149.13,0
8400,2.33,0,147.99,0
8700,2.42,0,146.85,0
9000,2.50,0,145.72,0
9300,2.58,0,144.58,0
9600,2.67,0,143.45,0
9900,2.75,0,142.31,0
10200,2.83,0,141.18,0
10500,2.92,0,140.05,0
10800,3.00,0,138.92,0
11100,3.08,0,137.79,0
11400,3.17,0,136.66,0
11700,3.25,0,135.53,0
12000,3.33,0,134.40,0
12300,3.42,0,133.27,0
12600,3.50,0,132.15,0
12900,3.58,0,131.02,0
13200,3.67,0,129.90,0
13500,3.75,0,128.78,0
13800,3.83,0,127.66,0
14100,3.92,0,126.54,0
14400,4.00,0,125.42,0
14700,4.08,0,124.30,0
15000,4.17,0,123.19,0
15300,4.25,0,122.07,0
15600,4.33,0,120.96,0
15900,4.42,0,119.85,0
16200,4.50,0,118.74,0
16500,4.58,0,117.63,0
16800,4.67,0,116.52,0
17100,4.75,0,115.42,0
17400,4.83,0,114.32,0
17700,4.92,0,113.22,0
18000,5.00,0,112.12,0
18300,5.08,0,111.02,0
18600,5.17,0,109.93,0
18900,5.25,0,108.83,0
19200,5.33,0,107.74,0
19500,5.42,0,106.66,0
19800,5.50,0,105.57,0
20100,5.58,0,104.49,0
20400,5.67,0,103.41,0
20700,5.75,0,102.33,0
21000,5.83,0,101.26,0
21300,5.92,0,100.19,0
21600,6.00,0,99.12,0
