time_seconds,time_hours,day,incidence_angle_deg,is_daylight
15552000,4320.00,180,2.40,1
15552300,4320.08,180,3.54,1
15552600,4320.17,180,4.69,1
15552900,4320.25,180,5.83,1
15553200,4320.33,180,6.98,1
15553500,4320.42,180,8.12,1
15553800,4320.50,180,9.27,1
15554100,4320.58,180,10.41,1
15554400,4320.67,180,11.56,1
15554700,4320.75,180,12.70,1
15555000,4320.83,180,13.85,1
15555300,4320.92,180,14.99,1
15555600,4321.00,180,16.14,1
15555900,4321.08,180,17.28,1
15556200,4321.17,180,18.42,1
15556500,4321.25,180,19.57,1
15556800,4321.33,180,20.71,1
15557100,4321.42,180,21.85,1
15557400,4321.50,180,22.99,1
15557700,4321.58,180,24.14,1
15558000,4321.67,180,25.28,1
15558300,4321.75,180,26.42,1
15558600,4321.83,180,27.56,1
15558900,4321.92,180,28.70,1
15559200,4322.00,180,29.84,1
15559500,4322.08,180,30.98,1
15559800,4322.17,180,32.11,1
15560100,4322.25,180,33.25,1
15560400,4322.33,180,34.39,1
15560700,4322.42,180,35.52,1
15561000,4322.50,180,36.66,1
15561300,4322.58,180,37.79,1
15561600,4322.67,180,38.93,1
15561900,4322.75,180,40.06,1
15562200,4322.83,180,41.19,1
15562500,4322.92,180,42.32,1
15562800,4323.00,180,43.45,1
15563100,4323.08,180,44.58,1
15563400,4323.17,180,45.71,1
15563700,4323.25,180,46.84,1
15564000,4323.33,180,47.96,1
15564300,4323.42,180,49.09,1
15564600,4323.50,180,50.21,1
15564900,4323.58,180,51.33,1
15565200,4323.67,180,52.45,1
15565500,4323.75,180,53.57,1
15565800,4323.83,180,54.69,1
15566100,4323.92,180,55.81,1
15566400,4324.00,180,56.93,1
15566700,4324.08,180,58.04,1
15567000,4324.17,180,59.15,1
15567300,4324.25,180,60.27,1
15567600,4324.33,180,61.37,1
15567900,4324.42,180,62.48,1
15568200,4324.50,180,63.59,1
15568500,4324.58,180,64.69,1
15568800,4324.67,180,65.80,1
15569100,4324.75,180,66.90,1
15569400,4324.83,180,68.00,1
15569700,4324.92,180,69.09,1
15570000,4325.00,180,70.19,1
15570300,4325.08,180,71.28,1
15570600,4325.17,180,72.37,1
15570900,4325.25,180,73.46,1
15571200,4325.33,180,74.54,1
15571500,4325.42,180,75.63,1
15571800,4325.50,180,76.71,1
15572100,4325.58,180,77.78,1
15572400,4325.67,180,78.86,1
15572700,4325.75,180,79.93,1
15573000,4325.83,180,81.00,1
15573300,4325.92,180,82.06,1
15573600,4326.00,180,83.13,1
15573900,4326.08,180,84.19,1
15574200,4326.17,180,85.24,1
15574500,4326.25,180,86.29,1
15574800,4326.33,180,87.34,1
15575100,4326.42,180,88.39,1
15575400,4326.50,180,89.43,1
15575700,4326.58,180,90.47,0
15576000,4326.67,180,91.50,0
15576300,4326.75,180,92.53,0
15576600,4326.83,180,93.55,0
15576900,4326.92,180,94.57,0
15577200,4327.00,180,95.58,0
15577500,4327.08,180,96.59,0
15577800,4327.17,180,97.59,0
15578100,4327.25,180,98.59,0
15578400,4327.33,180,99.58,0
15578700,4327.42,180,100.57,0
15579000,4327.50,180,101.55,0
15579300,4327.58,180,102.52,0
15579600,4327.67,180,103.49,0
15579900,4327.75,180,104.45,0
15580200,4327.83,180,105.40,0
15580500,4327.92,180,106.35,0
15580800,4328.00,180,107.29,0
15581100,4328.08,180,108.22,0
15581400,4328.17,180,109.14,0
15581700,4328.25,180,110.05,0
15582000,4328.33,180,110.95,0
15582300,4328.42,180,111.85,0
15582600,4328.50,180,112.73,0
15582900,4328.58,180,113.61,0
15583200,4328.67,180,114.47,0
15583500,4328.75,180,115.32,0
15583800,4328.83,180,116.16,0
15584100,4328.92,180,116.99,0
15584400,4329.00,180,117.81,0
15584700,4329.08,180,118.61,0
15585000,4329.17,180,119.40,0
15585300,4329.25,180,120.17,0
15585600,4329.33,180,120.93,0
15585900,4329.42,180,121.68,0
15586200,4329.50,180,122.41,0
15586500,4329.58,180,123.12,0
15586800,4329.67,180,123.82,0
15587100,4329.75,180,124.50,0
15587400,4329.83,180,125.16,0
15587700,4329.92,180,125.80,0
15588000,4330.00,180,126.42,0
15588300,4330.08,180,127.02,0
15588600,4330.17,180,127.60,0
15588900,4330.25,180,128.16,0
15589200,4330.33,180,128.70,0
15589500,4330.42,180,129.21,0
15589800,4330.50,180,129.70,0
15590100,4330.58,180,130.16,0
15590400,4330.67,180,130.60,0
15590700,4330.75,180,131.02,0
15591000,4330.83,180,131.40,0
15591300,4330.92,180,131.76,0
15591600,4331.00,180,132.09,0
15591900,4331.08,180,132.39,0
15592200,4331.17,180,132.67,0
15592500,4331.25,180,132.91,0
15592800,4331.33,180,133.12,0
15593100,4331.42,180,133.31,0
15593400,4331.50,180,133.46,0
15593700,4331.58,180,133.58,0
15594000,4331.67,180,133.67,0
15594300,4331.75,180,133.73,0
15594600,4331.83,180,133.75,0
15594900,4331.92,180,133.75,0
15595200,4332.00,180,133.71,0
15595500,4332.08,181,133.64,0
15595800,4332.17,181,133.54,0
15596100,4332.25,181,133.41,0
15596400,4332.33,181,133.25,0
15596700,4332.42,181,133.06,0
15597000,4332.50,181,132.83,0
15597300,4332.58,181,132.58,0
15597600,4332.67,181,132.29,0
15597900,4332.75,181,131.98,0
15598200,4332.83,181,131.64,0
15598500,4332.92,181,131.27,0
15598800,4333.00,181,130.88,0
15599100,4333.08,181,130.46,0
15599400,4333.17,181,130.01,0
15599700,4333.25,181,129.54,0
15600000,4333.33,181,129.04,0
15600300,4333.42,181,128.52,0
15600600,4333.50,181,127.98,0
15600900,4333.58,181,127.41,0
15601200,4333.67,181,126.82,0
15601500,4333.75,181,126.22,0
15601800,4333.83,181,125.59,0
15602100,4333.92,181,124.94,0
15602400,4334.00,181,124.27,0
