time_seconds,time_hours,day,incidence_angle_deg,is_daylight
0,0.00,0,179.74,0
86400,24.00,1,179.15,0
172800,48.00,2,178.37,0
259200,72.00,3,177.57,0
345600,96.00,4,176.77,0
432000,120.00,5,175.97,0
518400,144.00,6,175.16,0
604800,168.00,7,174.36,0
691200,192.00,8,173.56,0
777600,216.00,9,172.75,0
864000,240.00,10,171.95,0
950400,264.00,11,171.14,0
1036800,288.00,12,170.34,0
1123200,312.00,13,169.54,0
1209600,336.00,14,168.73,0
1296000,360.00,15,167.93,0
1382400,384.00,16,167.13,0
1468800,408.00,17,166.32,0
1555200,432.00,18,165.52,0
1641600,456.00,19,164.72,0
1728000,480.00,20,163.91,0
1814400,504.00,21,163.11,0
1900800,528.00,22,162.31,0
1987200,552.00,23,161.50,0
2073600,576.00,24,160.70,0
2160000,600.00,25,159.90,0
2246400,624.00,26,159.10,0
2332800,648.00,27,158.30,0
2419200,672.00,28,157.50,0
2505600,696.00,29,156.70,0
2592000,720.00,30,155.89,0
2678400,744.00,31,155.09,0
2764800,768.00,32,154.29,0
2851200,792.00,33,153.49,0
2937600,816.00,34,152.69,0
3024000,840.00,35,151.90,0
3110400,864.00,36,151.10,0
3196800,888.00,37,150.30,0
3283200,912.00,38,149.50,0
3369600,936.00,39,148.70,0
3456000,960.00,40,147.90,0
3542400,984.00,41,147.11,0
3628800,1008.00,42,146.31,0
3715200,1032.00,43,145.51,0
3801600,1056.00,44,144.72,0
3888000,1080.00,45,143.92,0
3974400,1104.00,46,143.13,0
4060800,1128.00,47,142.33,0
4147200,1152.00,48,141.54,0
4233600,1176.00,49,140.74,0
4320000,1200.00,50,139.95,0
4406400,1224.00,51,139.16,0
4492800,1248.00,52,138.36,0
4579200,1272.00,53,137.57,0
4665600,1296.00,54,136.78,0
4752000,1320.00,55,135.99,0
4838400,1344.00,56,135.20,0
4924800,1368.00,57,134.41,0
5011200,1392.00,58,133.62,0
5097600,1416.00,59,132.83,0
5184000,1440.00,60,132.04,0
5270400,1464.00,61,131.25,0
5356800,1488.00,62,130.46,0
5443200,1512.00,63,129.67,0
5529600,1536.00,64,128.89,0
5616000,1560.00,65,128.10,0
5702400,1584.00,66,127.31,0
5788800,1608.00,67,126.53,0
5875200,1632.00,68,125.74,0
5961600,1656.00,69,124.96,0
6048000,1680.00,70,124.17,0
6134400,1704.00,71,123.39,0
6220800,1728.00,72,122.61,0
6307200,1752.00,73,121.82,0
6393600,1776.00,74,121.04,0
6480000,1800.00,75,120.26,0
6566400,1824.00,76,119.48,0
6652800,1848.00,77,118.70,0
6739200,1872.00,78,117.92,0
6825600,1896.00,79,117.14,0
6912000,1920.00,80,116.36,0
6998400,1944.00,81,115.58,0
7084800,1968.00,82,114.80,0
7171200,1992.00,83,114.02,0
7257600,2016.00,84,113.25,0
7344000,2040.00,85,112.47,0
7430400,2064.00,86,111.69,0
7516800,2088.00,87,110.92,0
7603200,2112.00,88,110.14,0
7689600,2136.00,89,109.37,0
7776000,2160.00,90,108.60,0
7862400,2184.00,91,107.82,0
7948800,2208.00,92,107.05,0
8035200,2232.00,93,106.28,0
8121600,2256.00,94,105.51,0
8208000,2280.00,95,104.73,0
8294400,2304.00,96,103.96,0
8380800,2328.00,97,103.19,0
8467200,2352.00,98,102.42,0
8553600,2376.00,99,101.65,0
8640000,2400.00,100,100.89,0
8726400,2424.00,101,100.12,0
8812800,2448.00,102,99.35,0
8899200,2472.00,103,98.58,0
8985600,2496.00,104,97.82,0
9072000,2520.00,105,97.05,0
9158400,2544.00,106,96.29,0
