time_seconds,time_hours,day,incidence_angle_deg,is_daylight
0,0.00,0,158.04,0
300,0.08,0,158.01,0
600,0.17,0,157.91,0
900,0.25,0,157.74,0
1200,0.33,0,157.51,0
1500,0.42,0,157.22,0
1800,0.50,0,156.87,0
2100,0.58,0,156.47,0
2400,0.67,0,156.01,0
2700,0.75,0,155.49,0
3000,0.83,0,154.93,0
3300,0.92,0,154.33,0
3600,1.00,0,153.68,0
3900,1.08,0,153.00,0
4200,1.17,0,152.28,0
4500,1.25,0,151.52,0
4800,1.33,0,150.74,0
5100,1.42,0,149.93,0
5400,1.50,0,149.09,0
5700,1.58,0,148.23,0
6000,1.67,0,147.34,0
6300,1.75,0,146.44,0
6600,1.83,0,145.52,0
6900,1.92,0,144.58,0
7200,2.00,0,143.62,0
7500,2.08,0,142.66,0
7800,2.17,0,141.67,0
8100,2.25,0,140.68,0
8400,2.33,0,139.67,0
8700,2.42,0,138.65,0
9000,2.50,0,137.63,0
9300,2.58,0,136.59,0
9600,2.67,0,135.55,0
9900,2.75,0,134.50,0
10200,2.83,0,133.44,0
10500,2.92,0,132.37,0
10800,3.00,0,131.30,0
11100,3.08,0,130.22,0
11400,3.17,0,129.14,0
11700,3.25,0,128.05,0
12000,3.33,0,126.96,0
12300,3.42,0,125.86,0
12600,3.50,0,124.76,0
12900,3.58,0,123.66,0
13200,3.67,0,122.55,0
13500,3.75,0,121.44,0
13800,3.83,0,120.32,0
14100,3.92,0,119.21,0
14400,4.00,0,118.09,0
14700,4.08,0,116.96,0
15000,4.17,0,115.84,0
15300,4.25,0,114.71,0
15600,4.33,0,113.58,0
15900,4.42,0,112.45,0
16200,4.50,0,111.32,0
16500,4.58,0,110.19,0
16800,4.67,0,109.05,0
17100,4.75,0,107.91,0
17400,4.83,0,106.77,0
17700,4.92,0,105.64,0
18000,5.00,0,104.50,0
18300,5.08,0,103.35,0
18600,5.17,0,102.21,0
18900,5.25,0,101.07,0
19200,5.33,0,99.93,0
19500,5.42,0,98.78,0
19800,5.50,0,97.64,0
20100,5.58,0,96.49,0
20400,5.67,0,95.35,0
20700,5.75,0,94.21,0
21000,5.83,0,93.06,0
21300,5.92,0,91.92,0
21600,6.00,0,90.77,0
21900,6.08,0,89.63,1
22200,6.17,0,88.48,1
22500,6.25,0,87.34,1
22800,6.33,0,86.19,1
23100,6.42,0,85.05,1
23400,6.50,0,83.91,1
23700,6.58,0,82.77,1
24000,6.67,0,81.63,1
24300,6.75,0,80.49,1
24600,6.83,0,79.35,1
24900,6.92,0,78.21,1
25200,7.00,0,77.07,1
25500,7.08,0,75.94,1
25800,7.17,0,74.80,1
26100,7.25,0,73.67,1
26400,7.33,0,72.54,1
26700,7.42,0,71.41,1
27000,7.50,0,70.28,1
27300,7.58,0,69.16,1
27600,7.67,0,68.04,1
27900,7.75,0,66.92,1
28200,7.83,0,65.80,1
28500,7.92,0,64.68,1
28800,8.00,0,63.57,1
29100,8.08,0,62.46,1
29400,8.17,0,61.35,1
29700,8.25,0,60.25,1
30000,8.33,0,59.15,1
30300,8.42,0,58.06,1
30600,8.50,0,56.97,1
30900,8.58,0,55.88,1
31200,8.67,0,54.80,1
31500,8.75,0,53.72,1
31800,8.83,0,52.65,1
32100,8.92,0,51.58,1
32400,9.00,0,50.52,1
32700,9.08,0,49.47,1
33000,9.17,0,48.43,1
33300,9.25,0,47.39,1
33600,9.33,0,46.36,1
33900,9.42,0,45.34,1
34200,9.50,0,44.32,1
34500,9.58,0,43.32,1
34800,9.67,0,42.33,1
35100,9.75,0,41.35,1
35400,9.83,0,40.38,1
35700,9.92,0,39.43,1
36000,10.00,0,38.49,1
36300,10.08,0,37.56,1
36600,10.17,0,36.66,1
36900,10.25,0,35.77,1
37200,10.33,0,34.90,1
37500,10.42,0,34.05,1
37800,10.50,0,33.22,1
38100,10.58,0,32.41,1
38400,10.67,0,31.64,1
38700,10.75,0,30.89,1
39000,10.83,0,30.17,1
39300,10.92,0,29.48,1
39600,11.00,0,28.83,1
39900,11.08,0,28.21,1
40200,11.17,0,27.63,1
40500,11.25,0,27.10,1
40800,11.33,0,26.61,1
41100,11.42,0,26.17,1
41400,11.50,0,25.77,1
41700,11.58,0,25.43,1
42000,11.67,0,25.14,1
42300,11.75,0,24.91,1
42600,11.83,0,24.74,1
42900,11.92,0,24.62,1
43200,12.00,0,24.57,1
43500,12.08,1,24.57,1
43800,12.17,1,24.63,1
44100,12.25,1,24.75,1
44400,12.33,1,24.94,1
44700,12.42,1,25.17,1
45000,12.50,1,25.47,1
45300,12.58,1,25.81,1
45600,12.67,1,26.21,1
45900,12.75,1,26.66,1
46200,12.83,1,27.16,1
46500,12.92,1,27.70,1
46800,13.00,1,28.28,1
47100,13.08,1,28.90,1
47400,13.17,1,29.55,1
47700,13.25,1,30.24,1
48000,13.33,1,30.97,1
