feature,importance
FacadeAzimuth,0.9219417162602447
ShadingType_NoShading,0.033508803073113394
fin_depth,0.026092693034516085
overhang_depth,0.018456755754613495
ShadingType_Fins,1.9804058421620667e-08
ShadingType_Overhang,1.2073453982001768e-08
Cfg_c_room_light,0.0
WeatherFile_norway_data.csv,0.0
Cfg_k_wall,0.0
Cfg_k_const_absorb,0.0
Cfg_c_wall,0.0
Cfg_layer_thickness,0.0
Cfg_rho_wall,0.0
Cfg_module_width,0.0
Cfg_night_cooling,0.0
Cfg_night_vent_rate,0.0
Cfg_tau_visible,0.0
Cfg_room_height,0.0
Cfg_room_depth,0.0
Cfg_tau_window,0.0
Cfg_window_ratio,0.0
Cfg_ventilation_rate,0.0
Cfg_u_window,0.0
Latitude,0.0
