feature,importance
FacadeAzimuth,0.9383445808031858
ShadingType_NoShading,0.06150077638692801
fin_depth,0.00014286036303952257
overhang_depth,1.17801925649266e-05
ShadingType_Overhang,1.1420521284561586e-09
ShadingType_Fins,1.1122295327822352e-09
Cfg_c_room_light,0.0
WeatherFile_singapore_data.csv,0.0
Cfg_k_wall,0.0
Cfg_k_const_absorb,0.0
Cfg_c_wall,0.0
Cfg_layer_thickness,0.0
Cfg_rho_wall,0.0
Cfg_module_width,0.0
Cfg_night_cooling,0.0
Cfg_night_vent_rate,0.0
Cfg_tau_visible,0.0
Cfg_room_height,0.0
Cfg_room_depth,0.0
Cfg_tau_window,0.0
Cfg_window_ratio,0.0
Cfg_ventilation_rate,0.0
Cfg_u_window,0.0
Latitude,0.0
