feature,importance
FacadeAzimuth,0.8856902240953359
Cfg_window_ratio,0.06129649511433875
ShadingType_NoShading,0.052842008227891445
fin_depth,0.000145259313324432
overhang_depth,2.1546874047093823e-05
ShadingType_Fins,2.239608546984251e-06
ShadingType_Overhang,2.2267665153593277e-06
WeatherFile_singapore_data.csv,0.0
Cfg_k_wall,0.0
Cfg_k_const_absorb,0.0
Cfg_c_wall,0.0
Cfg_c_room_light,0.0
Cfg_layer_thickness,0.0
Cfg_module_width,0.0
Cfg_night_cooling,0.0
Cfg_night_vent_rate,0.0
Cfg_tau_visible,0.0
Cfg_room_height,0.0
Cfg_room_depth,0.0
Cfg_rho_wall,0.0
Cfg_ventilation_rate,0.0
Cfg_u_window,0.0
Cfg_tau_window,0.0
Latitude,0.0
