time_sec,hour,day_of_year,incidence_angle
0,0.0,0,90
600,0.16666666666666666,0,90
1200,0.3333333333333333,0,90
1800,0.5,0,90
2400,0.6666666666666666,0,90
3000,0.8333333333333334,0,90
3600,1.0,0,90
4200,1.1666666666666667,0,90
4800,1.3333333333333333,0,90
5400,1.5,0,90
6000,1.6666666666666667,0,90
6600,1.8333333333333333,0,90
7200,2.0,0,90
7800,2.1666666666666665,0,90
8400,2.3333333333333335,0,90
9000,2.5,0,90
9600,2.6666666666666665,0,90
10200,2.8333333333333335,0,90
10800,3.0,0,90
11400,3.1666666666666665,0,90
12000,3.3333333333333335,0,90
12600,3.5,0,90
13200,3.6666666666666665,0,90
13800,3.8333333333333335,0,90
14400,4.0,0,90
15000,4.166666666666667,0,90
15600,4.333333333333333,0,90
16200,4.5,0,90
16800,4.666666666666667,0,90
17400,4.833333333333333,0,90
18000,5.0,0,90
18600,5.166666666666667,0,90
19200,5.333333333333333,0,90
19800,5.5,0,90
20400,5.666666666666667,0,90
21000,5.833333333333333,0,90
21600,6.0,0,90
22200,6.166666666666667,0,89.89299969110708
22800,6.333333333333333,0,87.61429363458996
23400,6.5,0,85.340080372496
24000,6.666666666666667,0,83.07112248554722
24600,6.833333333333333,0,80.80822997553278
25200,7.0,0,78.55227071822264
25800,7.166666666666667,0,76.30418204929661
26400,7.333333333333333,0,74.06498376421303
27000,7.5,0,71.83579285386152
27600,7.666666666666667,0,69.61784034854972
28200,7.833333333333333,0,67.41249070437966
28800,8.0,0,65.22126423926349
29400,8.166666666666666,0,63.04586321121543
30000,8.333333333333334,0,60.888202228756555
30600,8.5,0,58.75044379020208
31200,8.666666666666666,0,56.63503986021036
31800,8.833333333333334,0,54.54478049812923
32400,9.0,0,52.482850634995245
33000,9.166666666666666,0,50.45289612303417
33600,9.333333333333334,0,48.4591001014681
34200,9.5,0,46.506270453500186
34800,9.666666666666666,0,44.599938546450176
35400,9.833333333333334,0,42.74646836671598
36000,10.0,0,40.953173328244965
36600,10.166666666666666,0,39.228435118333316
37200,10.333333333333334,0,37.581814574662985
37800,10.5,0,36.02413844403451
38400,10.666666666666666,0,34.56753791529555
39000,10.833333333333334,0,33.22540569052492
39600,11.0,0,32.01222999279649
40200,11.166666666666666,0,30.943260171465
40800,11.333333333333334,0,30.033965429809975
41400,11.5,0,29.29927250348449
42000,11.666666666666666,0,28.75261390440323
42600,11.833333333333334,0,28.404881013458343
43200,12.0,0,28.263437829506127
43800,12.166666666666666,0,28.331382567085758
44400,12.333333333333334,0,28.60721945821442
45000,12.5,0,29.085018510454955
45600,12.666666666666666,0,29.755024958461764
46200,12.833333333333334,0,30.604579793907682
46800,13.0,0,31.619165669145964
47400,13.166666666666666,0,32.78340629806587
48000,13.333333333333334,0,34.08190196395824
48600,13.5,0,35.49984878964076
49200,13.666666666666666,0,37.02344230164527
49800,13.833333333333334,0,38.640097524817016
50400,14.0,0,40.338530098502716
51000,14.166666666666666,0,42.10874212346461
51600,14.333333333333334,0,43.941949156030255
52200,14.5,0,45.83047559826128
52800,14.666666666666666,0,47.76763723823335
53400,14.833333333333334,0,49.74762289330994
54000,15.0,0,51.76538214416678
54600,15.166666666666666,0,53.81652276363596
55200,15.333333333333334,0,55.89721927195439
55800,15.5,0,58.00413273810117
56400,15.666666666666666,0,60.13434121349172
57000,15.833333333333334,0,62.28527982189546
57600,16.0,0,64.4546893942283
58200,16.166666666666668,0,66.6405725334308
58800,16.333333333333332,0,68.84115606196114
59400,16.5,0,71.0548589048522
60000,16.666666666666668,0,73.28026457247203
60600,16.833333333333332,0,75.51609751648915
61200,17.0,0,77.7612027335197
61800,17.166666666666668,0,80.01452808058735
62400,17.333333333333332,0,82.27510884398144
63000,17.5,0,84.54205416862604
63600,17.666666666666668,0,86.81453500946452
64200,17.833333333333332,0,89.09177331061086
64800,18.0,0,90
65400,18.166666666666668,0,90
66000,18.333333333333332,0,90
66600,18.5,0,90
67200,18.666666666666668,0,90
67800,18.833333333333332,0,90
68400,19.0,0,90
69000,19.166666666666668,0,90
69600,19.333333333333332,0,90
70200,19.5,0,90
70800,19.666666666666668,0,90
71400,19.833333333333332,0,90
72000,20.0,0,90
72600,20.166666666666668,0,90
73200,20.333333333333332,0,90
73800,20.5,0,90
74400,20.666666666666668,0,90
75000,20.833333333333332,0,90
75600,21.0,0,90
76200,21.166666666666668,0,90
76800,21.333333333333332,0,90
77400,21.5,0,90
78000,21.666666666666668,0,90
78600,21.833333333333332,0,90
79200,22.0,0,90
79800,22.166666666666668,0,90
80400,22.333333333333332,0,90
81000,22.5,0,90
81600,22.666666666666668,0,90
82200,22.833333333333332,0,90
82800,23.0,0,90
83400,23.166666666666668,0,90
84000,23.333333333333332,0,90
84600,23.5,0,90
85200,23.666666666666668,0,90
85800,23.833333333333332,0,90
86400,0.0,1,90
87000,0.16666666666666666,1,90
87600,0.3333333333333333,1,90
88200,0.5,1,90
88800,0.6666666666666666,1,90
89400,0.8333333333333334,1,90
90000,1.0,1,90
90600,1.1666666666666667,1,90
91200,1.3333333333333333,1,90
91800,1.5,1,90
92400,1.6666666666666667,1,90
93000,1.8333333333333333,1,90
93600,2.0,1,90
94200,2.1666666666666665,1,90
94800,2.3333333333333335,1,90
95400,2.5,1,90
96000,2.6666666666666665,1,90
96600,2.8333333333333335,1,90
97200,3.0,1,90
97800,3.1666666666666665,1,90
98400,3.3333333333333335,1,90
99000,3.5,1,90
99600,3.6666666666666665,1,90
100200,3.8333333333333335,1,90
100800,4.0,1,90
101400,4.166666666666667,1,90
102000,4.333333333333333,1,90
102600,4.5,1,90
103200,4.666666666666667,1,90
103800,4.833333333333333,1,90
104400,5.0,1,90
105000,5.166666666666667,1,90
105600,5.333333333333333,1,90
106200,5.5,1,90
