day_of_year,incidence_angle
0,36.898994341002734
1,36.23801521354673
2,35.58044253399785
3,34.92650175681437
4,34.2764334929004
5,33.63049471079879
6,32.988960033134596
7,32.3521231335888
8,31.720298239189823
9,31.093821741936186
10,30.473053922594964
11,29.85838078788586
12,29.25021601999041
13,28.649003034338776
14,28.055217137671796
15,27.469367773315977
16,26.892000834201127
17,26.32370101610974
18,25.765094173827567
19,25.21684963086743
20,24.67968237920401
21,24.154355088734384
22,23.641679826994096
23,23.142519368230236
24,22.657787947641737
25,22.18845129243231
26,21.735525737657188
27,21.30007621365243
28,20.883212876146683
29,20.48608614333925
30,20.10987991086577
31,19.755802740386954
32,19.425076865520825
33,19.11892493420867
34,18.83855451195744
35,18.585140505372465
36,18.359805825598222
37,18.16360078712207
38,17.997481913890557
39,17.862290982044946
40,17.758735244254904
41,17.687369832529118
42,17.648583307102832
43,17.642587200056237
44,17.669410197204936
45,17.728897327240905
46,17.820714211224477
47,17.94435610356891
48,18.09916116394707
49,18.28432716915268
50,18.49893072568462
51,18.741947985556763
52,19.012275894659574
53,19.308753100269836
54,19.630179790551182
55,19.975335911788992
56,20.34299738713711
57,20.73195012754847
58,21.141001769673128
59,21.568991190872975
60,22.014795936604504
61,22.477337752029936
62,22.955586441609825
63,23.44856229241368
64,23.955337293923744
65,24.475035373910508
66,25.00683185003172
67,25.549952273756137
68,26.10367081886684
69,26.667308343155938
70,27.240230229609264
71,27.8218440936252
72,28.411597424948333
73,29.008975218225054
74,29.613497633132976
75,30.224717714634192
76,30.842219195291285
77,31.4656143945803
78,32.09454222473048
79,32.728666308339974
80,33.36767320958759
81,34.01127077862105
82,34.65918660657948
83,35.311166587656096
84,35.966973583528585
85,36.62638618509202
86,37.28919756587154
87,37.955214421581296
88,38.624255990163725
89,39.296153146800876
90,39.970747568517176
91,40.64789096336291
92,41.32744435915688
93,42.00927744740851
94,42.69326797796006
95,43.37930120045252
96,44.0672693488533
97,44.75707116561064
98,45.44861146220487
99,46.14180071325914
100,46.836554681329076
101,47.53279407007283
102,48.23044420334174
103,48.929434728191794
104,49.629699339854376
105,50.33117552686426
106,51.03380433482064
107,51.73753014716627
108,52.442300481719805
109,53.14806580168282
110,53.8547793399463
111,54.56239693574689
112,55.270876882591224
113,55.980179786627225
114,56.69026843471459
115,57.40110767133276
116,58.11266428374512
117,58.82490689475867
118,59.537805862520244
119,60.25133318679344
120,60.96546242129099
121,61.68016859158757
122,62.39542811817355
123,63.111218744332334
124,63.82751946846324
125,64.54431048054525
126,65.26157310241024
127,65.9792897316562
128,66.69744378878092
129,67.41601966753902
130,68.13500268800733
131,68.85437905252687
132,69.57413580395064
133,70.29426078639227
134,71.01474260802608
135,71.73557060598188
136,72.45673481316905
137,73.17822592674584
138,73.90003527843369
139,74.62215480619354
140,75.34457702752317
141,76.06729501398088
142,76.79030236712144
143,77.5135931954748
144,78.23716209276546
145,78.96100411718476
146,79.68511477153055
147,80.40948998446038
148,81.13412609242835
149,81.85901982260906
150,82.58416827645932
151,83.3095689141419
152,84.03521953946857
153,84.7611182856777
154,85.48726360163549
155,86.21365423873856
156,86.94028923832536
157,87.66716791953597
158,88.39428986777362
159,89.1216549234558
160,89.84926317138084
161,90.57711493031096
162,91.30521074310012
163,92.03355136705522
164,92.7621377647282
165,93.49097109499995
166,94.22005270441345
167,94.94938411888471
168,95.67896703561907
169,96.40880331535551
170,97.13889497472147
171,97.86924417899634
172,98.59985323489936
173,99.33072458377252
174,100.06186079477732
175,100.79326455839167
176,101.5249386800779
177,102.25688607399275
178,102.989109757027
179,103.72161284280874
180,104.45439853597071
181,105.18747012647128
182,105.92083098410241
183,106.65448455298804
184,107.38843434628943
185,108.12268394100349
186,108.85723697272851
187,109.59209713068533
188,110.3272681526204
189,111.06275381996191
190,111.79855795284344
191,112.53468440536608
192,113.27113706072616
193,114.00791982650755
194,114.74503662993092
195,115.48249141319425
196,116.22028812870734
197,116.9584307344372
198,117.69692318924909
199,118.43576944811743
200,119.17497345749074
201,119.91453915043762
202,120.65447044193824
203,121.39477122394686
204,122.13544536050746
205,122.87649668279148
206,123.61792898392758
207,124.35974601390087
208,125.10195147415476
209,125.84454901218069
210,126.58754221587913
211,127.33093460780863
212,128.0747296391023
213,128.81893068332755
214,129.56354102991125
215,130.3085638773872
216,131.05400232631504
217,131.79985937171148
218,132.54613789523995
219,133.29284065674622
220,134.03997028545314
221,134.78752927038855
222,135.53551995027343
223,136.28394450259947
224,137.03280493185596
225,137.78210305685448
226,138.53184049683674
227,139.28201865652267
228,140.0326387095693
229,140.7837015806188
230,141.5352079253373
231,142.2871581085565
232,143.03955217984026
233,143.7923898464931
234,144.54567044323326
235,145.2993928983302
236,146.05355569551307
237,146.80815683086018
238,147.5631937640773
239,148.31866336300965
240,149.0745618403647
241,149.83088468105342
242,150.58762655876515
243,151.344781239384
244,152.10234146904477
245,152.860298843662
246,153.61864365605473
247,154.37736471631226
248,155.13644913924244
249,155.89588209202452
250,156.65564649255333
251,157.41572264716675
252,158.17608781270283
253,158.93671566389327
254,159.69757564103855
255,160.45863214560464
256,161.2198435405239
257,161.98116089759347
258,162.74252641418448
259,163.50387139337295
260,164.2651136401974
261,165.02615406869384
262,165.78687222697667
263,166.54712031853347
264,167.30671509915226
265,168.06542672243847
266,168.82296311793775
267,169.57894769222963
268,170.33288682020557
269,171.08412132358174
270,171.83175212423845
271,172.57452293659733
272,173.31062902582846
273,174.03739396964403
274,174.75070159372584
275,175.443957162149
276,176.1061215962002
277,176.71795054188595
278,177.2452555558094
279,177.63040314351474
280,177.79696956233315
281,177.69651635889883
282,177.35890014182456
283,176.85933545163664
284,176.26189545536602
285,175.60606875696868
286,174.91417320425083
287,174.19890982881356
288,173.46778322195655
289,172.72542676822886
290,171.9748240359352
291,171.21797025426199
292,170.4562448521678
293,169.6906297159662
294,168.92184186922472
295,168.15041688287144
296,167.37676291690596
297,166.60119669251335
298,165.8239680224124
299,165.04527690543148
300,164.265285674493
301,163.48412778278043
302,162.70191426103045
303,161.91873853250047
304,161.13468005159032
305,160.34980708704
306,159.56417887453097
307,158.77784729908882
308,157.99085822236748
309,157.20325253902143
310,156.4150670244341
311,155.62633502010576
312,154.83708699179888
313,154.04735098710685
314,153.2571530126391
315,152.46651734707055
316,151.6754668022325
317,150.884022941772
318,150.09220626549546
319,149.300036365185
320,148.50753205706988
321,147.71471149456283
322,146.92159226498458
323,146.12819147238724
324,145.33452580911293
325,144.54061161734268
326,143.74646494258695
327,142.95210158013896
328,142.15753711523067
329,141.36278695838726
330,140.56786637603082
331,139.77279051735042
332,138.97757443783016
333,138.18223311973452
334,137.38678149042136
335,136.59123443787664
336,135.79560682489384
337,134.9999135010527
338,134.20416931369462
339,133.40838911698532
340,132.61258778037475
341,131.81678019565848
342,131.0209812832793
343,130.2252059976786
344,129.42946933214986
345,128.63378632282084
346,127.83817205217667
347,127.0426416520726
348,126.24721030615457
349,125.45189325224439
350,124.65670578379104
351,123.86166325160191
352,123.06678106478581
353,122.27207469195571
354,121.47755966161243
355,120.68325156291645
356,119.88916604592447
357,119.09531882182353
358,118.30172566304573
359,117.50840240314344
360,116.7153649369566
361,115.92262922013495
362,115.13021126919638
363,114.33812716118216
364,113.54639303346036
