Latitude (decimal degrees):	60.500
Longitude (decimal degrees):	9.100
Elevation (m):	900
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,0.0,-10.7,1.52,0.0
20230101:0130,0.0,0.0,0.0,0.0,-11.21,1.59,0.0
20230101:0230,0.0,0.0,0.0,0.0,-11.62,1.59,0.0
20230101:0330,0.0,0.0,0.0,0.0,-12.03,1.59,0.0
20230101:0430,0.0,0.0,0.0,0.0,-12.42,1.52,0.0
20230101:0530,0.0,0.0,0.0,0.0,-12.74,1.45,0.0
20230101:0630,0.0,0.0,0.0,0.0,-13.13,1.38,0.0
20230101:0730,0.0,0.0,0.0,0.0,-13.2,1.38,0.0
20230101:0830,0.0,0.0,0.0,-0.89,-13.38,1.31,0.0
20230101:0930,0.0,19.95,0.0,3.17,-13.3,1.17,0.0
20230101:1030,41.11,23.95,0.0,5.69,-12.5,1.03,0.0
20230101:1130,45.16,41.05,0.0,6.49,-11.97,1.03,0.0
20230101:1230,28.55,30.91,0.0,5.51,-11.81,0.97,0.0
20230101:1330,4.65,20.67,0.0,2.83,-12.3,0.97,0.0
20230101:1430,0.0,0.0,0.0,-1.37,-13.11,0.97,0.0
20230101:1530,0.0,0.0,0.0,0.0,-13.95,0.97,0.0
20230101:1630,0.0,0.0,0.0,0.0,-14.12,0.97,0.0
20230101:1730,0.0,0.0,0.0,0.0,-14.02,0.9,0.0
20230101:1830,0.0,0.0,0.0,0.0,-13.5,0.83,0.0
20230101:1930,0.0,0.0,0.0,0.0,-14.83,0.97,0.0
20230101:2030,0.0,0.0,0.0,0.0,-14.62,0.97,0.0
20230101:2130,0.0,0.0,0.0,0.0,-14.26,0.9,0.0
20230101:2230,0.0,0.0,0.0,0.0,-14.19,0.97,0.0
20230101:2330,0.0,0.0,0.0,0.0,-13.83,0.83,0.0
20230102:0030,0.0,0.0,0.0,0.0,-13.65,0.83,0.0
20230102:0130,0.0,0.0,0.0,0.0,-14.53,1.17,0.0
20230102:0230,0.0,0.0,0.0,0.0,-14.03,1.03,0.0
20230102:0330,0.0,0.0,0.0,0.0,-14.58,1.17,0.0
20230102:0430,0.0,0.0,0.0,0.0,-14.18,1.1,0.0
20230102:0530,0.0,0.0,0.0,0.0,-13.32,0.97,0.0
20230102:0630,0.0,0.0,0.0,0.0,-13.32,1.03,0.0
20230102:0730,0.0,0.0,0.0,0.0,-15.26,1.1,0.0
20230102:0830,0.0,0.0,0.0,-0.85,-15.23,1.03,0.0
20230102:0930,0.0,21.7,0.0,3.23,-15.74,1.1,0.0
20230102:1030,13.55,46.2,0.0,5.76,-15.15,1.1,0.0
20230102:1130,10.75,55.55,0.0,6.58,-15.06,1.1,0.0
20230102:1230,9.15,41.51,0.0,5.61,-14.85,1.1,0.0
20230102:1330,3.9,20.67,0.0,2.94,-15.0,1.17,0.0
20230102:1430,0.0,0.0,0.0,-1.25,-15.32,1.31,0.0
20230102:1530,0.0,0.0,0.0,0.0,-15.74,1.38,0.0
20230102:1630,0.0,0.0,0.0,0.0,-15.92,1.38,0.0
20230102:1730,0.0,0.0,0.0,0.0,-16.09,1.45,0.0
20230102:1830,0.0,0.0,0.0,0.0,-16.09,1.38,0.0
20230102:1930,0.0,0.0,0.0,0.0,-15.73,1.38,0.0
20230102:2030,0.0,0.0,0.0,0.0,-15.87,1.52,0.0
20230102:2130,0.0,0.0,0.0,0.0,-16.41,1.59,0.0
20230102:2230,0.0,0.0,0.0,0.0,-16.82,1.66,0.0
20230102:2330,0.0,0.0,0.0,0.0,-16.93,1.59,0.0
20230103:0030,0.0,0.0,0.0,0.0,-17.11,1.66,0.0
20230103:0130,0.0,0.0,0.0,0.0,-17.66,1.66,0.0
20230103:0230,0.0,0.0,0.0,0.0,-17.87,1.59,0.0
20230103:0330,0.0,0.0,0.0,0.0,-18.25,1.59,0.0
20230103:0430,0.0,0.0,0.0,0.0,-18.68,1.52,0.0
20230103:0530,0.0,0.0,0.0,0.0,-18.98,1.52,0.0
20230103:0630,0.0,0.0,0.0,0.0,-19.18,1.45,0.0
20230103:0730,0.0,0.0,0.0,0.0,-19.2,1.38,0.0
20230103:0830,0.0,0.0,0.0,-0.79,-19.32,1.38,0.0
20230103:0930,0.0,18.6,0.0,3.29,-19.3,1.31,0.0
20230103:1030,50.91,30.4,0.0,5.84,-18.0,1.17,0.0
20230103:1130,59.71,34.1,0.0,6.67,-16.72,1.1,0.0
20230103:1230,46.11,20.98,0.0,5.72,-16.58,1.1,0.0
20230103:1330,19.46,12.75,0.0,3.05,-17.44,1.17,0.0
20230103:1430,0.0,0.0,0.0,-1.13,-18.91,1.24,0.0
20230103:1530,0.0,0.0,0.0,0.0,-19.09,1.17,0.0
20230103:1630,0.0,0.0,0.0,0.0,-19.05,1.17,0.0
20230103:1730,0.0,0.0,0.0,0.0,-18.97,1.1,0.0
20230103:1830,0.0,0.0,0.0,0.0,-18.85,1.03,0.0
20230103:1930,0.0,0.0,0.0,0.0,-17.41,0.76,0.0
20230103:2030,0.0,0.0,0.0,0.0,-17.13,0.76,0.0
20230103:2130,0.0,0.0,0.0,0.0,-17.05,0.83,0.0
20230103:2230,0.0,0.0,0.0,0.0,-15.61,0.48,0.0
20230103:2330,0.0,0.0,0.0,0.0,-14.97,0.28,0.0
20230104:0030,0.0,0.0,0.0,0.0,-14.72,0.21,0.0
20230104:0130,0.0,0.0,0.0,0.0,-14.28,0.48,0.0
20230104:0230,0.0,0.0,0.0,0.0,-14.33,0.69,0.0
20230104:0330,0.0,0.0,0.0,0.0,-14.99,0.83,0.0
20230104:0430,0.0,0.0,0.0,0.0,-14.89,0.9,0.0
20230104:0530,0.0,0.0,0.0,0.0,-14.95,0.97,0.0
20230104:0630,0.0,0.0,0.0,0.0,-15.05,1.03,0.0
20230104:0730,0.0,0.0,0.0,0.0,-14.72,1.03,0.0
20230104:0830,0.0,0.0,0.0,-0.73,-14.54,1.1,0.0
20230104:0930,0.0,6.15,0.0,3.36,-14.62,1.17,0.0
20230104:1030,0.0,10.8,0.0,5.93,-14.39,1.17,0.0
20230104:1130,0.0,9.3,0.0,6.77,-14.13,1.24,0.0
20230104:1230,0.0,9.9,0.0,5.83,-14.0,1.24,0.0
20230104:1330,0.0,5.5,0.0,3.18,-13.9,1.24,0.0
20230104:1430,0.0,0.0,0.0,-1.0,-13.73,1.31,0.0
20230104:1530,0.0,0.0,0.0,0.0,-13.68,1.31,0.0
20230104:1630,0.0,0.0,0.0,0.0,-13.66,1.31,0.0
20230104:1730,0.0,0.0,0.0,0.0,-13.57,1.38,0.0
20230104:1830,0.0,0.0,0.0,0.0,-13.42,1.38,0.0
20230104:1930,0.0,0.0,0.0,0.0,-12.64,1.31,0.0
20230104:2030,0.0,0.0,0.0,0.0,-12.59,1.31,0.0
20230104:2130,0.0,0.0,0.0,0.0,-12.51,1.38,0.0
20230104:2230,0.0,0.0,0.0,0.0,-12.37,1.45,0.0
20230104:2330,0.0,0.0,0.0,0.0,-12.26,1.45,0.0
20230105:0030,0.0,0.0,0.0,0.0,-12.03,1.45,0.0
20230105:0130,0.0,0.0,0.0,0.0,-11.96,1.45,0.0
20230105:0230,0.0,0.0,0.0,0.0,-11.87,1.31,0.0
20230105:0330,0.0,0.0,0.0,0.0,-11.81,1.31,0.0
