Latitude (decimal degrees):	1.357
Longitude (decimal degrees):	103.820
Elevation (m):	53
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0030,55.95,134.2,0.0,18.21,25.87,4.28,0.0
20230101:0130,177.3,196.6,0.0,31.65,26.03,4.83,0.0
20230101:0230,329.85,233.1,0.0,44.46,26.42,4.9,0.0
20230101:0330,442.1,260.55,0.0,55.88,26.94,4.21,0.0
20230101:0430,453.8,329.95,0.0,63.93,27.41,4.07,0.0
20230101:0530,424.05,303.9,0.0,65.06,27.77,4.41,0.0
20230101:0630,358.0,317.5,0.0,58.52,27.89,4.41,0.0
20230101:0730,209.4,302.6,0.0,47.75,27.86,4.14,0.0
20230101:0830,119.55,191.15,0.0,35.2,27.69,3.79,0.0
20230101:0930,27.55,146.5,0.0,21.89,27.6,4.14,0.0
20230101:1030,9.55,47.85,0.0,8.23,27.27,3.17,0.0
20230101:1130,0.0,0.0,0.0,-5.56,27.24,3.86,0.0
20230101:1230,0.0,0.0,0.0,0.0,27.06,4.21,0.0
20230101:1330,0.0,0.0,0.0,0.0,26.78,4.07,0.0
20230101:1430,0.0,0.0,0.0,0.0,26.47,4.07,0.0
20230101:1530,0.0,0.0,0.0,0.0,26.13,4.62,0.0
20230101:1630,0.0,0.0,0.0,0.0,25.85,5.03,0.0
20230101:1730,0.0,0.0,0.0,0.0,25.67,5.24,0.0
20230101:1830,0.0,0.0,0.0,0.0,25.54,5.24,0.0
20230101:1930,0.0,0.0,0.0,0.0,25.41,5.38,0.0
20230101:2030,0.0,0.0,0.0,0.0,25.33,5.52,0.0
20230101:2130,0.0,0.0,0.0,0.0,25.29,5.52,0.0
20230101:2230,0.0,0.0,0.0,0.0,25.54,5.03,0.0
20230101:2330,10.1,25.9,0.0,4.5,25.57,5.03,0.0
20230102:0030,83.45,99.3,0.0,18.12,25.59,5.17,0.0
20230102:0130,302.05,135.05,0.0,31.57,25.74,5.1,0.0
20230102:0230,473.15,158.65,0.0,44.41,26.15,5.59,0.0
20230102:0330,640.86,136.85,0.0,55.86,26.86,6.14,0.0
20230102:0430,679.26,156.0,0.0,63.97,27.5,5.24,0.0
20230102:0530,703.91,147.55,0.0,65.17,28.01,4.28,0.0
20230102:0630,599.76,145.15,0.0,58.65,28.37,3.86,0.0
20230102:0730,444.0,140.65,0.0,47.88,28.63,3.79,0.0
20230102:0830,352.75,123.25,0.0,35.33,28.67,3.66,0.0
20230102:0930,194.1,85.8,0.0,22.01,28.55,3.86,0.0
20230102:1030,42.8,41.7,0.0,8.34,27.32,2.62,0.0
20230102:1130,0.0,0.0,0.0,-5.46,27.52,3.1,0.0
20230102:1230,0.0,0.0,0.0,0.0,27.42,3.31,0.0
20230102:1330,0.0,0.0,0.0,0.0,27.16,4.14,0.0
20230102:1430,0.0,0.0,0.0,0.0,26.75,5.03,0.0
20230102:1530,0.0,0.0,0.0,0.0,26.41,5.38,0.0
20230102:1630,0.0,0.0,0.0,0.0,26.08,5.17,0.0
20230102:1730,0.0,0.0,0.0,0.0,25.88,5.1,0.0
20230102:1830,0.0,0.0,0.0,0.0,25.68,5.03,0.0
20230102:1930,0.0,0.0,0.0,0.0,25.55,5.1,0.0
20230102:2030,0.0,0.0,0.0,0.0,25.42,5.52,0.0
20230102:2130,0.0,0.0,0.0,0.0,25.41,5.38,0.0
20230102:2230,0.0,0.0,0.0,0.0,25.63,4.21,0.0
20230102:2330,9.5,18.84,0.0,4.4,25.53,4.62,0.0
20230103:0030,40.05,90.35,0.0,18.04,25.48,4.69,0.0
20230103:0130,158.5,197.95,0.0,31.5,25.54,4.48,0.0
20230103:0230,255.5,205.8,0.0,44.36,25.96,4.69,0.0
20230103:0330,384.3,270.8,0.0,55.85,26.75,4.69,0.0
20230103:0430,351.95,329.25,0.0,64.01,27.44,4.34,0.0
20230103:0530,462.05,294.8,0.0,65.28,27.88,3.66,0.0
20230103:0630,472.95,278.05,0.0,58.79,28.01,3.24,0.0
20230103:0730,359.2,228.2,0.0,48.01,27.6,2.97,0.0
20230103:0830,106.65,195.05,0.0,35.45,26.43,2.55,0.0
20230103:0930,49.05,111.4,0.0,22.13,26.01,2.48,0.0
20230103:1030,6.85,43.75,0.0,8.45,26.43,1.79,0.0
20230103:1130,0.0,0.0,0.0,-5.36,26.19,2.69,0.0
20230103:1230,0.0,0.0,0.0,0.0,25.82,3.59,0.0
20230103:1330,0.0,0.0,0.0,0.0,25.78,4.07,0.0
20230103:1430,0.0,0.0,0.0,0.0,25.65,4.41,0.0
20230103:1530,0.0,0.0,0.0,0.0,25.48,4.9,0.0
20230103:1630,0.0,0.0,0.0,0.0,25.28,5.03,0.0
20230103:1730,0.0,0.0,0.0,0.0,25.11,5.52,0.0
20230103:1830,0.0,0.0,0.0,0.0,24.99,6.07,0.0
20230103:1930,0.0,0.0,0.0,0.0,24.9,6.28,0.0
20230103:2030,0.0,0.0,0.0,0.0,24.9,6.55,0.0
20230103:2130,0.0,0.0,0.0,0.0,24.95,7.24,0.0
20230103:2230,0.0,0.0,0.0,0.0,24.88,6.14,0.0
20230103:2330,4.95,14.87,0.0,4.3,24.87,6.0,0.0
20230104:0030,29.05,98.2,0.0,17.96,24.8,5.38,0.0
20230104:0130,73.85,161.7,0.0,31.43,24.9,5.24,0.0
20230104:0230,106.45,258.6,0.0,44.32,25.16,5.38,0.0
20230104:0330,95.75,310.7,0.0,55.84,25.67,5.86,0.0
20230104:0430,84.8,351.05,0.0,64.07,26.33,5.52,0.0
20230104:0530,212.75,357.05,0.0,65.4,26.9,5.86,0.0
20230104:0630,438.45,233.7,0.0,58.93,27.19,5.31,0.0
20230104:0730,390.7,183.55,0.0,48.15,27.22,5.72,0.0
20230104:0830,181.5,168.5,0.0,35.58,27.05,5.1,0.0
20230104:0930,139.45,89.55,0.0,22.24,27.16,4.69,0.0
20230104:1030,36.55,44.85,0.0,8.56,26.9,4.07,0.0
20230104:1130,0.0,0.0,0.0,-5.26,26.35,4.21,0.0
20230104:1230,0.0,0.0,0.0,0.0,26.22,4.76,0.0
20230104:1330,0.0,0.0,0.0,0.0,26.08,5.24,0.0
20230104:1430,0.0,0.0,0.0,0.0,25.97,5.52,0.0
20230104:1530,0.0,0.0,0.0,0.0,25.87,5.66,0.0
20230104:1630,0.0,0.0,0.0,0.0,25.7,5.66,0.0
20230104:1730,0.0,0.0,0.0,0.0,25.49,5.93,0.0
20230104:1830,0.0,0.0,0.0,0.0,25.41,5.93,0.0
20230104:1930,0.0,0.0,0.0,0.0,25.33,5.79,0.0
20230104:2030,0.0,0.0,0.0,0.0,25.3,5.86,0.0
20230104:2130,0.0,0.0,0.0,0.0,25.25,5.31,0.0
20230104:2230,0.0,0.0,0.0,0.0,25.5,4.28,0.0
20230104:2330,13.45,22.41,0.0,4.21,25.46,4.07,0.0
